"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРЛИС АРТ""";г. Москва, ул. Малая Семёновская, д.  5 стр.  1 Э. 4 Ч. к. 10
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕКЛАМНО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""АНТЕЙ""";г. Москва, ул. Краснобогатырская, д.  38 стр.  2 этаж  3 пом. 9 ком. 5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИВА МЕБЕЛЬ""";г. Москва, ул. 1-Я Боевская, д.  2/12 стр.  4 этаж  1 пом. 3 ком. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЕКШН8""";г. Москва, ул. Самокатная, д.  4 стр.  4 этаж  1 пом. I ком. 11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОН ПАЛЛЕТ""";г. Москва, ул. Лефортовский Вал, д.  16А этаж  1 П I К 21А О 17
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАР ПРИНТ""";г. Москва, ул. Свободы, д.  99 корп.  1 этаж  2 П XIII К 2 офис 248
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАМАРС""";г. Москва, ул. Свободы, д.  17 Э ПОДВАЛ пом. I К 1 офис 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬЯНС""";г. Москва, шоссе Заводское, д.  19 стр.  2 пом.  II этаж 2 ком. 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛАШИХИНСКАЯ МЯСНАЯ МАНУФАКТУРА""";г. Москва, шоссе Варшавское, д.  10 корп.  1 стр. 2 этаж  1 офис 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС-ИНЖИНИРИНГ""";г. Москва, ул. Дубининская, д.  17 стр.  2 пом.  34
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРИНАРТ-УМН""";г. Москва, набережная Раушская, д.  4\5 стр.  1 Э 3 пом. 3-34
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЛИП ТРИКОТАЖ""";г. Москва, ул. Садовническая, д.  72 стр.  1 этаж  1 П III К 5 офис Б1К
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЙЛ БЕСТ""";г. Москва, ул. 9-Я Парковая, д.  62 этаж  2 пом. XIV ком. 33
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ ФО Ю""";г. Москва, ул. 14-Я Парковая, д.  3А стр.  1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОБОКОН XXI""";г. Москва, ул. 3-Я Мытищинская, д.  10 стр.  2 этаж  4 пом. II ком. 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРЕМЬЕР ЭКСПРЕСС""";г. Москва, ул. 3-Я Мытищинская, д.  3 корп.  1 этаж / пом. / ком.  1/VII/3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЬЮЧЕР ПРУФ ГЕАР КОРП""";г. Москва, ул. 3-Я Хорошёвская, д.  21А этаж  5 пом. 12
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАРС ГРУПП""";г. Москва, ул. Марии Ульяновой, д.  8 кв.  77
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГЕТИКА ДИАГНОСТИКА АВТОМАТИЗАЦИЯ КОМПЛЕКСНЫЙ СЕРВИС""";г. Москва, ул. Алешинская Долина, д.  5/1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИЛК ЛАЙФ""";г. Москва, ул. Мясницкая, д.  30/1/2 стр.  2 этаж  3 пом. I ком. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУЛЬТУРА ОРГАНИК""";г. Москва, ул. 6-Я Радиальная, д.  5 корп.  4 этаж  1 пом. ХС офис 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕЧАТНЫЙ ДОМ БОНАТИРЕ""";г. Москва, ул. Дубининская, д.  68 стр.  13 этаж / пом.  2/66
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕКС ЛАБОРАТОРИЯ""";г. Москва, проезд Береговой, д.  7 корп.  1 Э 1 пом. I К 5 офис А7Л
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКВИПСЕРВИС""";г. Москва, ул. Новослободская, д.  14/19 стр.  8 Э/П/ ком. / офис  1/II/8/37
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГИДРАВЛИК БГ""";г. Москва, ул. Чертановская, д.  48 корп.  2 кв.  554
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАНИИЛ""";г. Москва, ул. Люблинская, д.  1 стр.  1 этаж  4 пом. I ком. 22
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРВАРД""";г. Москва, проезд Хлебозаводский, д.  7 стр.  9 этаж / пом. / ком.  8/XV/18П(РМ22А)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КИНИОН""";г. Москва, ул. 16-Я Парковая, д.  5 этаж  5 ком. 29
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДКЛИМАТ""";г. Москва, шоссе Алтуфьевское, д.  48 корп.  1 пом.  I/ ком. 18/ этаж 9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦПОШИВ""";г. Москва, ул. Миклухо-Маклая, д.  34 пом.  IV/ этаж 0/К37/ офис 297
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2112МТМ""";г. Москва, пер. Столешников, д.  11 Э 2 пом. I ком. 47
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТО РТИ""";г. Москва, ул. Базовская, д.  15 корп.  8 этаж  1 пом. V ком. 8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""М ПОШИВ""";г. Москва, проезд Хлебозаводский, д.  7А этаж  2 пом. ком. 79
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НУРОТРОН""";г. Москва, проспект Волгоградский, д.  47 этаж  2 пом. 234А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛИДА""";г. Москва, ул. Академика Семёнова, д.  3 этаж  1 пом. XII ком. 1 офис 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТИНЕНТ""";г. Москва, ул. Садовническая, д.  72 стр.  1 Э/ пом. /К/ офис  1/III/5/А8Ф
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕЛЮДЕРМ ЛАБ""";г. Москва, ул. Пермская, д.  11 стр.  5 пом.  325Б
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПОРТТЕКС""";г. Москва, ул. Орджоникидзе, д.  12 стр.  4 ком.  3 этаж 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХ-ГАРАНТ""";г. Москва, пер. Курсовой, д.  10 этаж / пом. / офис  5/13/04
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВЕТУЛЬТРАТЕХ""";г. Москва, ул. Лужники, д.  24 стр.  2 кв.  109
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕРГ""";г. Москва, км. Мжд Киевское 5-Й, д.  5 стр.  41 этаж  1 каб. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОСТАЛЭНД""";г. Москва, ул. Орджоникидзе, д.  11 стр.  8 пом.  I, ком. 9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛИБРИ ГЛОБАЛ""";г. Москва, шоссе Волоколамское, д.  108 этаж  ЦОКОЛЬ/ пом. VIII/ ком. 4/ офис 71
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ГРУППА КОМПАНИЙ ""МЕТАЛЛ-АРТ""";г. Москва, набережная Озерковская, д.  22/24 стр.  2 этаж  4 пом. 1 ком. 8А-1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТПК АРЕКС""";г. Москва, ул. 2-Я Машиностроения, д.  17 стр.  1 этаж / пом. / ком. / офис  2/I/63/71
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАНА""";г. Москва, пер. Воротниковский, д.  8 стр.  1 пом. / ком.  II/1У
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЪЕДИНЕННЫЙ ПОЛИГРАФИЧЕСКИЙ КОМПЛЕКС""";г. Москва, набережная Дербеневская, д.  7 стр.  2 этаж  2 пом. I К 3-4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТПМК""";г. Москва, ул. Большая Полянка, д.  51А/9 Э 8 пом. I К 1 офис А7П
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО ТЕХОСНАСТКА""";г. Москва, ул. 1-Я Фрезерная, д.  10 стр.  4 ком.  379
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТЕКЛОМАКС""";г. Москва, ул. Щепкина, д.  9 стр.  1 этаж  ПОДВАЛ пом. II ком. 23
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""";г. Москва, ул. 2-Я Владимирская, д.  13 кв.  27
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБОРУДОВАНИЕ""";г. Москва, ул. Малая Пироговская, д.  8 Э 2 пом. LXVI К 16 офис 220
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМНИПАЙП""";г. Москва, ул. 6-Я Радиальная, д.  3 корп.  6 Э 1 пом. XCI К 1 офис 1-4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ТЕХНОЛОГИИ ТЯГОВЫХ ПРИВОДОВ""";г. Москва, ул. Горбунова, д.  1 этаж   2/ пом. 1/ ком. 8/ офис 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ ТЕХНО СЕРВИС""";г. Москва, шоссе Боровское, д.  2А корп.  3 кв.  385
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БКС-СЕРВИС""";г. Москва, шоссе Алтуфьевское, д.  31 стр.  1 этаж  2, пом. II, ком. 7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕСТЕКС""";г. Москва, проспект Вернадского, д.  29 Э 12 пом. I К 4 офис 102
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЛЬТРАПРИНТ""";г. Москва, г. Зеленоград, проезд 4807-Й, д.  1 стр.  1 пом.  19-21
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕАЛ""";г. Москва, ул. Каспийская, д.  22К1 стр. 5 этаж  5 П IX К 17А офис 115
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОСАЛТ""";г. Москва, ул. Электрозаводская, д.  52 стр.  6 этаж  02 пом. 21
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКИН-ПРИНТ""";г. Москва, ул. Беловежская, д.  47 кв.  66
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""69МОСКВА""";г. Москва, бульвар Цветной, д.  22 стр.  6 пом.  11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕРЕВОТЕКА""";г. Москва, шоссе Головинское, д.  10Б кв.  219
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛЭНТ НУТРИШН""";г. Москва, шоссе Новокуркинское, д.  39 этаж  2 П I К 71 офис 34
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ""АКВАНТ""";г. Москва, пер. Пречистенский, д.  18
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАНТ-М""";г. Москва, пер. 1-Й Басманный, д.  5/20 стр.  2 офис Ч П I К 8 О 08-2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРИНТ""";г. Москва, ул. Мартеновская, д.  5 пом.  I/ ком. 8/ офис 139
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСХИМПРОМ""";г. Москва, бульвар Черноморский, д.  17 корп.  1 Э/ пом. /К/ офис  5/II/1/74
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМИЧЕСКИЕ ТЕХНОЛОГИИ""";г. Москва, ул. Адмирала Руднева, д.  4 этаж / пом. / офис  6/30/40
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГУРОВА ГРУПП""";г. Москва, ул. Воронцовская, д.  19Б этаж /П/К/ офис  1/I/1Г/5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИОН""";г. Москва, ул. Большая Почтовая, д.  26 стр.  1 этаж  2 П I К 2 офис 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОБАЛ КОМПОЗИТ СИСТЕМ""";г. Москва, ул. Бауманская, д.  7 стр.  1 этаж  2 пом. 1 ком. 41
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕМОНТ МЕТАЛЛУРГИЧЕСКИХ МАШИН""";г. Москва, проспект Рязанский, д.  8А стр.  9 этаж  4 пом. I ком. 11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЮФТКРАФТ""";г. Москва, ул. Шереметьевская, д.  85 стр.  1 пом.  I, ком. 40, этаж 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСГЕОДОР""";г. Москва, бульвар Черноморский, д.  17 корп.  1 пом.  I/ этаж 5/ офис 226
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЕОЛА ШОКО""";г. Москва, ул. Снежная, д.  17 корп.  1 кв.  149
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАЙТ ВУД ЭКСПОРТ""";г. Москва, ул. 2-Я Останкинская, д.  1 стр.  2 этаж   2 пом. 1 ком. 11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХРУСТ2020""";г. Москва, ул. Волхонка, д.  15 пом.  XVI ком. 94
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ЮГ-2020""";г. Москва, ул. Мелитопольская, д.  1 корп.  2 стр. 2 этаж  А1 пом. III ком. 6А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИЛА""";г. Москва, ул. Осенняя, д.  23 этаж / ком. / офис  9/114А/136
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОМАНИЯ""";г. Москва, ул. Академика Миллионщикова, д.  31 кв.  143
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕТАСЕРВИС""";г. Москва, бульвар Черноморский, д.  17 корп.  1 этаж  1 пом. II ком. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРИФ""";г. Москва, проезд Большой Волоколамский, д.  12 корп.  1 пом.  16
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТАЛЛИК""";г. Москва, пл. Журавлёва, д.  2 стр.  2 пом. / ком.  66
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВМ ИНЖИНИРИНГ""";г. Москва, ул. Пермская, д.  11 стр.  5 этаж  6 пом. 601В
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД ТОРГОВОГО МАШИНОСТРОЕНИЯ""";г. Москва, проспект Мира, д.  131 этаж  1, пом. III, ком. 2, офис Х
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРРО-М""";г. Москва, ул. Свободы, д.  99 корп.  1 Э 2 пом. XIII К 2 офис 218
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИММЕД""";г. Москва, проспект Рязанский, д.  10 стр.  18 офис  8.3/835
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕКСАНДРОВСКАЯ КИРПИЧНАЯ КОМПАНИЯ""";г. Москва, проезд 3-Й Нижнелихоборский, д.  1А этаж / пом. / ком.  3/IX/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАБРИКА ЧАСОВ ПАВЕЛЪ БУРЕ""";г. Москва, ул. Арбат, д.  1 этаж / 1/ пом. 5/ офис 58
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЛОДБИ""";г. Москва, шоссе Каширское, д.  65 корп.  1 этаж  1 пом. IIIA офис 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭСЛАНА""";г. Москва, ул. 3-Я Филевская, д.  8 корп.  2 этаж  1 пом. VII ком. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШАРК""";г. Москва, ул. Лефортовский Вал, д.  24 Э ПОДВАЛ пом. IV К 5 офис 92
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХОДИС""";г. Москва, проезд Локомотивный, д.  21 стр.  5 этаж  7 пом. I
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНО-ПРОМЫШЛЕННЫЙ ИНСТИТУТ""";г. Москва, пер. Глинищевский, д.  6 офис  70
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНО-ТЕХНИЧЕСКИЙ ЦЕНТР ""ФОРТ""";г. Москва, ул. Вятская, д.  70 этаж  7 пом. I ком. 39
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАСТИОН""";г. Москва, проспект Рязанский, д.  91 корп.  1 Э/ пом. /К/ офис  1/11/1/55
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРСЕНАЛ""";г. Москва, ул. Гостиничная, д.  7А Э/ пом. /К/ офис  1/1/4/36 д.
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕЗДЕХОД""";г. Москва, пер. Филипповский, д.  9 пом.  1 ком. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАВСАН""";г. Москва, бульвар Черноморский, д.  17 корп.  1 Э/ пом. /К/ офис  5/III/5/66
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ОРГАНИКА НН»;г. Москва, проспект Мичуринский, д.  45
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПТС СЕРВИС""";г. Москва, шоссе Дмитровское, д.  100 корп.  2 этаж / офис  6/616
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМБЫТТАРА""";г. Москва, ул. Маленковская, д.  14 корп.  3 Э 1 пом. 4 К 3 офис 780
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛБАЙ""";г. Москва, ул. Электрозаводская, д.  52 стр.  16 пом.  15
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МДИКС""";г. Москва, ул. 2-Я Энтузиастов, д.  5 корп.  39 этаж /П/К/ офис  5/V/11/6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМПЛУА""";г. Москва, ул. Осенняя, д.  23 этаж  9 ком. 114А офис 133
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛПРОФСТРОЙ1""";г. Москва, г. Троицк, ул. Городская, д.  1 офис  19
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДНССЕРВИС.РФ""";г. Москва, км. Киевское Шоссе 22-Й (П Московский), домовладение  4 стр.  2 этаж / блок / офис  9/В/903В
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЯТСКОЕ""";г. Москва, пос. Внуково, ул. Центральная, д.  8Б этаж  5 пом. 519
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕСТА +""";г. Москва, пер. Ботанический, д.  7 Э/ пом. /К/ офис  3/I/21/Б2Ж
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИРАФЛЕКС""";г. Москва, ул. Намёткина, д.  14 корп.  1 этаж / пом.  8/I, каб. №811
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКИЙ МЕТИЗ""";г. Москва, ул. Подъёмная, д.  14 стр.  38 этаж  1 пом. III ком. 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛЬВАТЕРА""";г. Москва, ул. Смоленская, д.  7 этаж / пом. / офис  2/I/55
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «КРАФТОВАЯ КУХНЯ»;г. Москва, ул. Суворовская, д.  8 офис  28
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГЕНТСТВО ПОЛИГРАФИЧЕСКИХ УСЛУГ""";г. Москва, ул. Краснобогатырская, д.  2 стр.  2 этаж  1 ПОД 28 пом. 28
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОСБЕРТЕХ""";г. Москва, ул. Макаренко, д.  2/21 стр.  1 кв.  13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕЙНЦ""";г. Москва, ул. Яузская, д.  5 пом.  3 ком. 8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМА ПРОФ""";г. Москва, ул. 6-Я Радиальная, д.  9 этаж / пом. / ком.  3/VII/12
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИТЕЙЛ СЕРВИС""";г. Москва, пер. Леснорядский, д.  18 стр.  2 этаж / пом.  3/17
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАР ЭЛЕМЕНТ""";г. Москва, ул. Производственная, д.  12 корп.  1 кв.  651
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННЫЕ РЕГУЛИРУЮЩИЕ СИСТЕМЫ""";г. Москва, пер. Слесарный, д.  3 пом.  IV ком. 10 офис 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИРА""";г. Москва, шоссе Ленинградское, д.  130 корп.  1 Э 1 П XIV К 6 офис 200
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЛЕКТСТРОЙ""";г. Москва, Сосенское поселение, пос. Коммунарка, ул. Александры Монаховой, д.  92 корп.  1 кв.  92
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАЛЕРИ МАРКОН ГРУПП""";г. Москва, ул. Авиамоторная, д.  50 стр.  2 ЧЕРДАК  пом. XIV К 6 офис 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЭНДИ""";г. Москва, шоссе Энтузиастов, д.  56 стр.  8 Э/ пом. /К, часть  К 3/IV/10,16
